Date,Open,High,Low,Close,Volume,Adj Close
2010-09-06,3.56,3.60,3.56,3.60,65000,3.25
2010-09-03,3.55,3.62,3.52,3.56,62500,3.22
2010-09-02,3.50,3.62,3.50,3.62,49000,3.27
2010-09-01,3.43,3.44,3.43,3.44,9000,3.11
2010-08-31,3.50,3.50,3.45,3.50,456500,3.12
2010-08-30,3.55,3.55,3.55,3.55,115000,3.16
2010-08-27,3.50,3.60,3.50,3.54,123000,3.15
2010-08-26,3.55,3.55,3.54,3.54,458500,3.15
2010-08-25,3.46,3.58,3.46,3.55,120500,3.16
2010-08-24,3.55,3.55,3.52,3.55,553000,3.16
2010-08-23,3.55,3.58,3.54,3.55,414000,3.16
2010-08-20,3.58,3.66,3.58,3.58,156000,3.19
2010-08-19,3.56,3.60,3.55,3.60,372500,3.21
2010-08-18,3.50,3.60,3.50,3.55,52500,3.16
2010-08-17,3.60,3.60,3.55,3.59,262500,3.20
2010-08-16,3.59,3.60,3.59,3.60,40500,3.21
2010-08-13,3.58,3.61,3.52,3.60,37000,3.21
2010-08-12,3.60,3.60,3.50,3.60,393000,3.21
2010-08-11,3.60,3.67,3.53,3.65,228500,3.25
2010-08-10,3.66,3.66,3.65,3.65,83000,3.25
2010-08-09,3.66,3.68,3.66,3.66,132000,3.26
2010-08-06,3.68,3.68,3.64,3.66,126400,3.26
2010-08-05,3.69,3.71,3.67,3.68,287500,3.28
2010-08-04,3.72,3.72,3.68,3.70,130000,3.30
2010-08-03,3.78,3.83,3.75,3.78,193500,3.37
2010-08-02,3.75,3.80,3.74,3.78,102000,3.37
2010-07-30,3.66,3.76,3.66,3.75,35500,3.34
2010-07-29,3.70,3.71,3.65,3.70,97500,3.30
2010-07-28,3.76,3.76,3.72,3.72,144500,3.31
2010-07-27,3.72,3.78,3.72,3.74,197500,3.33
2010-07-26,3.66,3.80,3.66,3.71,344500,3.31
2010-07-23,3.70,3.74,3.60,3.66,161500,3.26
2010-07-22,3.65,3.69,3.65,3.65,24500,3.25
2010-07-21,3.60,3.78,3.60,3.69,282000,3.29
2010-07-20,3.56,3.62,3.56,3.58,81000,3.19
2010-07-19,3.56,3.60,3.56,3.58,87000,3.19
2010-07-16,3.53,3.54,3.47,3.54,200000,3.15
2010-07-15,3.51,3.60,3.51,3.53,413000,3.14
2010-07-14,3.57,3.57,3.51,3.55,364000,3.16
2010-07-13,3.52,3.52,3.52,3.52,6000,3.14
2010-07-12,3.50,3.59,3.50,3.58,35000,3.19
2010-07-09,3.44,3.49,3.44,3.48,271500,3.10
2010-07-08,3.40,3.47,3.40,3.44,95000,3.06
2010-07-07,3.49,3.61,3.30,3.40,502500,3.03
2010-07-06,3.40,3.54,3.40,3.54,47500,3.15
2010-07-05,3.56,3.56,3.55,3.55,29000,3.16
2010-07-02,3.55,3.64,3.55,3.58,370200,3.19
2010-06-30,3.58,3.60,3.50,3.53,401000,3.14
2010-06-29,3.66,3.74,3.55,3.70,382100,3.30
2010-06-28,3.78,3.78,3.66,3.66,229000,3.26
2010-06-25,3.57,3.75,3.57,3.74,9500,3.33
2010-06-24,3.58,3.80,3.58,3.75,731000,3.34
2010-06-23,3.50,3.70,3.47,3.55,535500,3.16
2010-06-22,3.49,3.60,3.46,3.56,192500,3.17
2010-06-21,3.41,3.64,3.41,3.59,523000,3.20
2010-06-18,3.42,3.45,3.40,3.41,387000,3.04
2010-06-17,3.44,3.44,3.42,3.42,22500,3.05
2010-06-15,3.33,3.37,3.33,3.37,169500,3.00
2010-06-14,3.26,3.36,3.19,3.32,126000,2.96
2010-06-11,3.39,3.44,3.34,3.34,123500,2.98
2010-06-10,3.32,3.45,3.31,3.33,105500,2.97
2010-06-09,3.39,3.39,3.33,3.39,264500,3.02
2010-06-08,3.30,3.42,3.30,3.35,141500,2.98
2010-06-07,3.35,3.53,3.33,3.38,431000,3.01
2010-06-04,3.37,3.39,3.36,3.39,98000,3.02
2010-06-03,3.35,3.45,3.33,3.35,101000,2.98
2010-06-02,3.40,3.40,3.35,3.35,182000,2.98
2010-06-01,3.36,3.40,3.36,3.40,179500,3.03
2010-05-31,3.36,3.37,3.36,3.36,175000,2.99
2010-05-28,3.49,3.55,3.45,3.50,211000,3.12
2010-05-27,3.38,3.50,3.38,3.43,187500,3.06
2010-05-26,3.40,3.50,3.36,3.37,191500,3.00
2010-05-25,3.41,3.51,3.30,3.40,364000,3.03
2010-05-24,3.41,3.51,3.28,3.41,177500,3.04
2010-05-20,3.60,3.60,3.26,3.40,393500,3.03
2010-05-19,3.73,3.83,3.65,3.70,131000,3.25
2010-05-18,3.77,3.85,3.74,3.75,187500,3.30
2010-05-17,3.85,3.86,3.79,3.79,140000,3.33
2010-05-14,3.95,3.96,3.91,3.91,40000,3.44
2010-05-13,3.84,3.98,3.84,3.98,90400,3.50
2010-05-12,3.88,3.90,3.85,3.85,149500,3.38
2010-05-11,3.99,3.99,3.89,3.91,123000,3.44
2010-05-10,3.90,3.99,3.87,3.93,102900,3.45
2010-05-07,3.90,3.98,3.86,3.98,116500,3.50
2010-05-06,4.18,4.18,3.70,3.96,135000,3.48
2010-05-05,4.10,4.10,3.94,4.08,423500,3.59
2010-05-04,4.13,4.18,4.09,4.18,263500,3.67
2010-05-03,4.26,4.29,4.17,4.19,31500,3.68
2010-04-30,4.12,4.30,4.12,4.26,431500,3.74
2010-04-29,4.20,4.25,4.14,4.25,270500,3.74
2010-04-28,4.22,4.28,4.11,4.20,266500,3.69
2010-04-27,4.27,4.29,4.22,4.28,394500,3.76
2010-04-26,4.40,4.40,4.25,4.26,454500,3.74
2010-04-23,4.33,4.42,4.29,4.39,442000,3.86
2010-04-22,4.30,4.25,4.35,4.35,134000,3.82
2010-04-21,4.30,4.32,4.22,4.32,263400,3.80
2010-04-20,4.30,4.33,4.29,4.30,326500,3.78
2010-04-19,4.33,4.35,4.25,4.32,345000,3.80
2010-04-16,4.54,4.54,4.33,4.40,1175600,3.87
2010-04-15,4.55,4.60,4.50,4.57,272800,4.02
2010-04-14,4.53,4.55,4.33,4.54,827000,3.99
2010-04-13,4.62,4.62,4.40,4.53,410000,3.98
2010-04-12,4.71,4.73,4.58,4.62,447500,4.06
2010-04-09,4.54,4.78,4.54,4.67,658400,4.10
2010-04-08,4.56,4.59,4.46,4.56,326000,4.01
2010-04-07,4.45,4.68,4.45,4.60,1322500,4.04
2010-04-01,4.40,4.48,4.40,4.45,335000,3.91
2010-03-31,4.36,4.48,4.33,4.48,834500,3.94
2010-03-30,4.30,4.39,4.30,4.36,335000,3.83
2010-03-29,4.43,4.45,4.28,4.42,1379000,3.88
2010-03-26,4.40,4.40,4.32,4.35,123500,3.82
2010-03-25,4.35,4.45,4.33,4.36,336800,3.83
2010-03-24,4.40,4.44,4.39,4.40,135000,3.87
2010-03-23,4.40,4.49,4.38,4.44,158000,3.90
2010-03-22,4.47,4.47,4.36,4.40,321000,3.87
2010-03-19,4.45,4.56,4.45,4.52,815500,3.97
2010-03-18,4.40,4.48,4.38,4.42,657000,3.88
2010-03-17,4.40,4.56,4.40,4.42,371500,3.88
2010-03-16,4.35,4.40,4.34,4.36,245100,3.83
2010-03-15,4.41,4.49,4.38,4.39,177500,3.86
2010-03-12,4.48,4.49,4.42,4.45,236000,3.91
2010-03-11,4.40,4.57,4.38,4.49,225000,3.95
2010-03-10,4.48,4.58,4.48,4.50,181500,3.95
2010-03-09,4.58,4.58,4.41,4.42,372500,3.88
2010-03-08,4.51,4.55,4.48,4.48,722000,3.94
2010-03-05,4.50,4.59,4.47,4.52,112000,3.97
2010-03-04,4.59,4.60,4.45,4.47,189800,3.93
2010-03-03,4.45,4.54,4.36,4.54,147000,3.99
2010-03-02,4.55,4.60,4.30,4.40,414000,3.87
2010-03-01,4.50,4.61,4.50,4.60,290000,4.04
2010-02-26,4.40,4.47,4.40,4.47,197000,3.93
2010-02-25,4.38,4.45,4.38,4.40,281000,3.87
2010-02-24,4.38,4.43,4.38,4.38,148000,3.85
2010-02-23,4.30,4.42,4.30,4.41,132500,3.88
2010-02-22,4.35,4.38,4.30,4.38,200500,3.85
2010-02-19,4.43,4.43,4.26,4.36,315500,3.83
2010-02-18,4.30,4.35,4.30,4.31,252000,3.79
2010-02-17,4.25,4.33,4.25,4.31,198500,3.79
2010-02-12,4.13,4.23,4.13,4.20,104000,3.69
2010-02-11,4.14,4.18,4.12,4.18,167500,3.67
2010-02-10,4.12,4.12,4.10,4.10,191500,3.60
2010-02-09,4.11,4.11,4.03,4.10,650500,3.60
2010-02-08,4.21,4.26,4.10,4.11,611500,3.61
2010-02-05,4.20,4.24,4.05,4.21,541500,3.70
2010-02-04,4.31,4.20,4.25,4.35,199000,3.82
2010-02-03,4.20,4.31,4.17,4.31,420000,3.79
2010-02-02,4.13,4.25,4.08,4.17,336500,3.66
2010-02-01,4.00,4.10,4.00,4.10,237500,3.60
2010-01-29,4.01,4.09,3.97,4.04,481000,3.55
2010-01-28,4.00,4.15,4.00,4.06,500000,3.57
2010-01-27,4.02,4.12,3.95,4.00,977000,3.52
2010-01-26,4.17,4.17,3.96,3.99,693500,3.51
2010-01-25,4.10,4.25,4.05,4.17,944000,3.66
2010-01-22,4.30,4.30,3.97,4.17,1505000,3.66
2010-01-21,4.42,4.56,4.22,4.25,1681000,3.74
2010-01-20,4.76,4.80,4.58,4.58,615000,4.03
2010-01-19,4.83,4.85,4.70,4.70,671000,4.13
2010-01-18,4.88,4.89,4.80,4.83,884500,4.24
2010-01-15,5.00,5.05,4.83,4.85,2257500,4.26
2010-01-14,4.60,5.09,4.60,5.05,3827500,4.44
2010-01-13,4.64,4.64,4.50,4.55,885000,4.00
2010-01-12,4.59,4.70,4.44,4.63,988000,4.07
2010-01-11,4.61,4.61,4.42,4.55,712000,4.00
2010-01-08,4.66,4.70,4.54,4.56,757500,4.01
2010-01-07,4.65,4.80,4.62,4.65,1130000,4.09
2010-01-06,4.72,4.73,4.57,4.62,2120000,4.06
2010-01-05,4.28,4.63,4.28,4.60,4071000,4.04
2010-01-04,4.05,4.22,4.05,4.18,2388500,3.67
2010-01-01,4.04,4.04,4.04,4.04,000,3.55
2009-12-31,3.99,4.09,3.94,4.04,2336000,3.55
2009-12-30,3.94,3.96,3.91,3.95,326400,3.47
2009-12-29,3.92,3.98,3.89,3.96,819000,3.48
2009-12-28,3.99,4.08,3.90,3.91,466500,3.44
2009-12-25,3.96,3.96,3.96,3.96,000,3.48
2009-12-24,3.90,3.83,3.98,3.98,429000,3.50
2009-12-23,3.85,3.95,3.85,3.92,259000,3.45
2009-12-22,4.00,4.05,3.75,3.94,346000,3.46
2009-12-21,4.13,4.13,3.93,3.98,325000,3.50
2009-12-18,4.05,4.20,3.97,4.00,560000,3.52
2009-12-17,4.20,4.20,4.00,4.01,1066500,3.52
2009-12-16,4.15,4.28,4.13,4.15,721000,3.65
2009-12-15,4.01,4.15,4.00,4.10,724500,3.60
2009-12-14,4.07,4.12,3.88,4.06,487000,3.57
2009-12-11,4.19,4.22,4.02,4.05,693000,3.56
2009-12-10,4.30,4.30,4.05,4.13,553500,3.63
2009-12-09,4.30,4.31,4.20,4.24,501500,3.73
2009-12-08,4.30,4.32,4.27,4.30,462500,3.78
2009-12-07,4.24,4.37,4.22,4.33,335500,3.81
2009-12-04,4.34,4.36,4.23,4.25,788500,3.74
2009-12-03,4.30,4.35,4.20,4.35,1499000,3.82
2009-12-02,4.30,4.42,4.15,4.22,3422000,3.71
2009-12-01,4.40,4.42,4.25,4.29,962000,3.77
2009-11-30,4.55,4.60,4.40,4.42,887000,3.88
2009-11-27,4.70,4.70,4.48,4.51,1001500,3.96
2009-11-26,4.92,4.92,4.62,4.75,1152500,4.17
2009-11-25,4.88,4.94,4.83,4.94,565500,4.34
2009-11-24,5.00,5.01,4.88,4.90,612000,4.31
2009-11-23,4.96,5.00,4.89,4.96,432500,4.36
2009-11-20,5.00,5.00,4.88,4.92,416000,4.32
2009-11-19,5.00,5.08,4.99,5.00,254500,4.39
2009-11-18,5.07,5.11,5.00,5.02,484000,4.41
2009-11-17,5.10,5.10,5.04,5.07,185500,4.46
2009-11-16,5.06,5.10,4.99,5.05,547200,4.44
2009-11-13,5.10,5.12,5.00,5.00,730500,4.39
2009-11-12,5.12,5.16,5.01,5.04,546500,4.43
2009-11-11,5.29,5.29,5.13,5.16,513000,4.53
2009-11-10,5.21,5.35,5.20,5.22,1244000,4.59
2009-11-09,5.17,5.27,5.08,5.15,781000,4.53
2009-11-06,4.94,5.07,4.94,5.06,663000,4.45
2009-11-05,4.90,4.94,4.80,4.93,280500,4.33
2009-11-04,4.80,4.94,4.80,4.94,215000,4.34
2009-11-03,4.82,4.98,4.81,4.90,653000,4.31
2009-11-02,4.73,4.80,4.64,4.79,366000,4.21
2009-10-30,4.85,4.95,4.83,4.83,357000,4.24
2009-10-29,4.89,4.89,4.73,4.74,864000,4.17
2009-10-28,4.95,5.00,4.88,4.90,613000,4.31
2009-10-27,5.10,5.10,4.94,4.98,1093200,4.38
2009-10-26,5.13,5.13,5.13,5.13,000,4.51
2009-10-23,5.18,5.25,5.06,5.13,856800,4.51
2009-10-22,5.20,5.24,5.06,5.17,270000,4.54
2009-10-21,5.35,5.35,5.15,5.19,1121000,4.56
2009-10-20,4.97,5.40,4.90,5.28,2928000,4.64
2009-10-19,4.89,4.98,4.89,4.91,428000,4.32
2009-10-16,4.86,5.00,4.78,4.95,477500,4.35
2009-10-15,5.00,5.10,4.85,4.86,1389500,4.27
2009-10-14,4.80,5.00,4.69,5.00,2151500,4.39
2009-10-13,4.98,4.88,4.88,5.05,1160000,4.44
2009-10-12,5.22,5.24,4.98,4.99,1223000,4.39
2009-10-09,5.16,5.20,5.13,5.14,826000,4.52
2009-10-08,5.16,5.20,5.05,5.16,737500,4.53
2009-10-07,5.22,5.22,5.10,5.20,479500,4.57
2009-10-06,5.00,5.00,5.10,5.20,425500,4.57
2009-10-05,5.00,5.06,5.00,5.00,196500,4.39
2009-10-02,5.15,5.15,5.00,5.04,115000,4.43
2009-10-01,5.14,5.14,5.14,5.14,000,4.52
2009-09-30,5.17,5.21,5.13,5.14,269000,4.52
2009-09-29,5.18,5.32,5.09,5.21,419400,4.58
2009-09-28,5.30,5.30,5.00,5.03,562000,4.42
2009-09-25,5.50,5.50,5.28,5.43,546500,4.77
2009-09-24,5.63,5.63,5.45,5.50,673000,4.83
2009-09-23,5.83,5.83,5.63,5.65,534000,4.97
2009-09-22,5.80,5.85,5.75,5.77,316000,5.07
2009-09-21,5.90,5.90,5.72,5.78,465000,5.08
2009-09-18,6.06,6.07,5.90,5.95,1072000,5.23
2009-09-17,6.10,6.15,6.00,6.05,1736500,5.32
2009-09-16,5.87,6.17,5.84,6.08,2172100,5.34
2009-09-15,5.77,5.89,5.76,5.85,500000,5.14
2009-09-14,5.82,5.90,5.82,5.86,805000,5.15
2009-09-11,5.87,5.87,5.75,5.78,400000,5.08
2009-09-10,5.81,5.88,5.73,5.85,1159500,5.14
2009-09-09,5.92,5.92,5.79,5.81,640500,5.11
2009-09-08,5.88,6.04,5.81,5.88,1062500,5.17
2009-09-07,5.79,5.88,5.76,5.87,1174500,5.16
2009-09-04,5.74,5.80,5.60,5.79,564000,5.02
2009-09-03,5.55,5.82,5.55,5.79,705000,5.02
2009-09-02,5.60,5.70,5.52,5.54,1628000,4.80
2009-09-01,5.90,5.91,5.70,5.78,719000,5.01
2009-08-31,6.10,6.11,5.71,5.80,1738800,5.03
2009-08-28,6.05,6.23,5.98,6.11,2855000,5.29
2009-08-27,6.14,6.14,5.90,5.98,1644500,5.18
2009-08-26,6.60,6.61,6.08,6.13,7434000,5.31
2009-08-25,6.64,7.08,6.50,6.80,4779000,5.89
2009-08-24,6.30,6.71,6.15,6.64,1429000,5.75
2009-08-21,6.28,6.30,6.05,6.15,1163500,5.33
2009-08-20,6.07,6.27,6.07,6.24,2171000,5.41
2009-08-19,6.13,6.20,5.95,6.11,1457500,5.29
2009-08-18,5.92,6.17,5.85,6.07,3058000,5.26
2009-08-17,6.50,6.55,5.77,5.93,3212000,5.14
2009-08-14,6.66,6.88,6.56,6.68,3252500,5.79
2009-08-13,6.80,6.85,6.46,6.61,6725000,5.73
2009-08-12,6.58,7.11,6.56,6.88,11263400,5.96
2009-08-11,5.76,7.15,5.76,6.50,12804500,5.63
2009-08-10,5.95,5.95,5.59,5.72,761500,4.96
2009-08-07,6.14,6.15,5.80,5.86,7361500,5.08
2009-08-06,6.10,6.25,6.01,6.10,577000,5.29
2009-08-05,6.35,6.35,6.02,6.15,345500,5.33
2009-08-04,6.45,6.59,6.30,6.35,865500,5.50
2009-08-03,6.18,6.59,6.15,6.50,1784000,5.63
2009-07-31,6.12,6.21,6.02,6.15,310500,5.33
2009-07-30,5.94,6.10,5.85,6.10,702500,5.29
2009-07-29,6.08,6.08,5.80,5.94,1377500,5.15
2009-07-28,6.14,6.14,6.00,6.09,384900,5.28
2009-07-27,6.26,6.26,6.00,6.18,1921500,5.35
2009-07-24,6.39,6.39,6.00,6.06,1065000,5.25
2009-07-23,6.15,6.41,6.15,6.36,783500,5.51
2009-07-22,6.12,6.13,6.03,6.13,376500,5.31
2009-07-21,6.02,6.13,5.85,6.13,761500,5.31
2009-07-20,5.74,6.03,5.65,6.02,1180000,5.22
2009-07-17,5.57,5.75,5.56,5.74,567500,4.97
2009-07-16,5.50,5.68,5.50,5.57,792500,4.83
2009-07-15,5.64,5.70,5.40,5.52,1313000,4.78
2009-07-14,5.66,5.66,5.52,5.60,1286500,4.85
2009-07-13,5.61,5.70,5.60,5.69,306500,4.93
2009-07-10,5.88,5.88,5.61,5.71,394000,4.95
2009-07-09,6.00,6.00,5.85,5.93,219000,5.14
2009-07-08,6.01,6.20,5.79,6.00,839000,5.20
2009-07-07,5.56,6.25,5.51,6.15,1798100,5.33
2009-07-06,5.75,5.75,5.52,5.64,813500,4.89
2009-07-03,5.07,5.75,5.05,5.69,2469000,4.93
2009-07-02,4.93,5.16,4.93,5.15,1245000,4.46
2009-07-01,5.06,5.06,5.06,5.06,000,4.38
2009-06-30,4.98,5.11,4.93,5.06,478000,4.38
2009-06-29,5.00,5.12,4.99,5.03,388500,4.36
2009-06-26,5.02,5.08,5.00,5.07,227100,4.39
2009-06-25,5.03,5.05,4.90,4.90,336500,4.25
2009-06-24,5.05,5.05,4.97,5.03,160800,4.36
2009-06-23,5.08,5.09,5.00,5.01,387500,4.34
2009-06-22,5.00,5.19,5.00,5.16,335000,4.47
2009-06-19,4.90,4.98,4.89,4.93,110000,4.27
2009-06-18,4.95,4.97,4.88,4.92,214500,4.26
2009-06-17,4.90,5.00,4.89,4.98,186000,4.31
2009-06-16,4.95,4.99,4.90,4.90,361500,4.25
2009-06-15,5.13,5.13,4.84,5.00,281500,4.33
2009-06-12,5.08,5.16,5.00,5.12,358500,4.44
2009-06-11,5.10,5.20,4.95,5.05,327000,4.38
2009-06-10,5.15,5.20,5.10,5.18,208000,4.49
2009-06-09,5.30,5.32,5.05,5.11,731500,4.43
2009-06-08,5.29,5.35,5.29,5.31,156500,4.60
2009-06-05,5.45,5.47,5.25,5.34,298500,4.63
2009-06-04,5.23,5.40,5.23,5.40,261500,4.68
2009-06-03,5.30,5.32,5.23,5.32,541000,4.61
2009-06-02,5.45,5.45,5.27,5.30,970500,4.59
2009-06-01,5.48,5.49,5.35,5.42,512000,4.70
2009-05-29,5.41,5.53,5.33,5.35,267000,4.64
2009-05-28,5.41,5.41,5.41,5.41,000,4.69
2009-05-27,5.40,5.50,5.38,5.41,833500,4.69
2009-05-26,5.40,5.50,5.38,5.40,459500,4.68
2009-05-25,5.43,5.47,5.33,5.45,494000,4.72
2009-05-22,5.57,5.59,5.41,5.49,333500,4.76
2009-05-21,5.58,5.60,5.42,5.52,787000,4.78
2009-05-20,5.60,5.60,5.44,5.50,686800,4.77
2009-05-19,5.80,5.83,5.52,5.65,1028500,4.90
2009-05-18,5.60,5.79,5.40,5.70,1060500,4.94
2009-05-15,5.39,5.96,5.37,5.94,1715500,5.15
2009-05-14,5.29,5.39,5.18,5.38,347500,4.66
